1.1.1	vqxXirAxEc
4.1.60	xikpUrvapaxAnfIp‌
4.1.61	vAhaH
4.1.62	saKyaSiSvIwi BARAyAm
4.1.63	jAweraswrIviRayAxayopaXAw‌
4.1.64	pAkakarNaparNapuRpaPalamUlabAlowwarapaxAcca
4.1.65	iwo manuRyajAweH
4.1.66	UfuwaH
4.1.67	bAhvanwAw‌ saMjFAyAm
4.1.68	pafgoSca
4.1.69	UrUwwarapaxAxOpamye
4.1.70	saMhiwaSaPalakRaNavAmAxeSca
4.1.71	kaxrukamaNdalvoSCanxasi
4.1.72	saMjFAyAm
4.1.73	SArfgaravAxyaFo fIn
4.1.74	yafaScAp‌
4.1.75	AvatyAcca
4.1.76	waxXiwAH
4.1.77	yUnaswiH
4.1.78	aNiForanArRayorgurUpowwamayoH Ryaf gowre
4.1.79	gowrAvayavAw‌
4.1.80	krOdyAxiByaSca
4.1.81	xEvayajFiSOcivqkRisAwyamugrikANTevixXiByoZnyawarasyAm
4.1.82	samarWAnAM praWamAxvA
4.1.83	prAgxIvyawoZN
4.1.84	aSvapawyAxiByaSca
4.1.85	xiwyaxiwyAxiwyapawyuwwarapaxANNyaH
4.1.86	uwsAxiByoZF
4.1.87	swrIpuMsAByAM naFsnaFO BavanAw‌
4.1.88	xvigorluganapawye
4.1.89	gowreZlugaci
4.1.90	yUni luk
4.1.91	PakPiForanyawarasyAm
4.1.92	wasyApawyam
4.1.93	eko gowre
4.1.94	gowrAxyUnyaswriyAm
4.1.95	awa iF
4.1.96	bAhvAxiByaSca
4.1.97	suXAwurakaf ca
4.1.98	gowre kuFjAxiByaScPaF
4.1.99	nadAxiByaH Pak
4.1.100	hariwAxiByoZFaH
4.1.101	yaFiFoSca
4.1.102	SaraxvacCunakaxarBAxBqguvawsAgrAyaNeRu
4.1.103	xroNaparvawajIvanwAxanyawarayAm
4.1.104	anqRyAnanwarye bixAxiByoZF
4.1.105	gargAxiByo yaF
4.1.106	maXubaBrvorbrAhmaNakOSikayoH
4.1.107	kapiboXAxAfgirase
4.1.108	vawaNdAcca
4.1.109	luk swriyAm
4.1.110	aSvAxiByaH PaF
4.1.111	BargAw‌ wrEgarwe
4.1.112	SivAxiByoZN
4.1.113	avqxXAByo naxImAnuRIByaswannAmikAByaH
4.1.114	qRyanXakavqRNikuruByaSca
4.1.115	mAwuruw‌ saMKyAsamBaxrapUrvAyAH
4.1.116	kanyAyAH kanIna ca
4.1.117	vikarNaSufgacCagalAxvawsaBaraxvAjAwriRu
4.1.118	pIlAyA vA
4.1.119	Dak ca maNdUkAw‌
4.1.120	swrIByo Dak
4.1.121	xvyacaH
4.1.122	iwaScAniFaH
4.1.123	SuBrAxiByaSca
4.1.124	vikarNakuRIwakAw‌ kASyape
4.1.125	Bruvo vuk ca
4.1.126	kalyANyAxInAminaf
4.1.127	kulatAyA vA
4.1.128	catakAyA Erak
4.1.129	goXAyA Drak
4.1.130	AraguxIcAm
4.1.131	kRuxrAByo vA
4.1.132	piwqRvasuSCaN
4.1.133	Daki lopaH
4.1.134	mAwqRvasuSca
4.1.135	cawuRpAxByo DaF
4.1.136	gqRtyAxiByaSca
4.1.137	rAjaSvaSurAxyaw‌
4.1.138	kRawrAxGaH
4.1.139	kulAw‌ KaH
4.1.140	apUrvapaxAxanyawarasyAM yadDakaFO
4.1.141	mahAkulAxaFKaFO
4.1.142	xuRkulAdDak
4.1.143	svasuSCaH
4.1.144	BrAwurvyacca
4.1.145	vyan sapawne
4.1.146	revawyAxiByaRTak
4.1.147	gowraswriyAH kuwsane Na ca
4.1.148	vqxXAtTak sOvIreRu bahulam
4.1.149	PeSCa ca
4.1.150	PANtAhqwimimawAByAM NaPiFO
4.1.151	kurvAxiByo NyaH
4.1.152	senAnwalakRaNakAriByaSca
4.1.153	uxIcAmiF
4.1.154	wikAxiByaH PiF
4.1.155	kOsalyakArmAryAByAM ca
4.1.156	aNo xvyacaH
4.1.157	uxIcAM vqxXAxagowrAw‌
4.1.158	vAkinAxInAM kuk ca
4.1.159	puwrAnwAxanyawarasyAm
4.1.160	prAcAmavqxXAw‌ Pin bahulam‌
4.1.161	manorjAwAvaFyawO Ruk ca
4.1.162	apawyaM pOwrapraBqwi gowram‌
4.1.163	jIvawi wu vaMSye yuvA
4.1.164	BrAwari ca jyAyasi
4.1.165	vAZnyasmin sapiNde sWaviraware jIvawi
4.1.166	vqxXasya ca pUjAyAm
4.1.167	yUnaSca kuwsAyAm
4.1.168	janapaxaSabxAw‌ kRawriyAxaF
4.1.169	sAlveyagAnXAriByAM ca
4.1.170	xvyaFmagaXakalifgasUramasAxaN
4.1.171	vqxXewkosalAjAxAFFyaf
4.1.172	kuruNAxiByo NyaH
4.1.173	sAlvAvayavaprawyagraWakalakUtASmakAxiF
4.1.174	we waxrAjAH
4.1.175	kambojAlluk
4.1.176	swriyAmavanwikunwikuruByaSca
4.1.177	awaSca
4.1.178	na prAcyaBargAxiyOXeyAxiByaH
4.2.1	wena rakwaM rAgAw‌
4.2.2	lAkRArocanA(SakalakarxamA)tTak
4.2.3	nakRawreNa yukwaH kAlaH
4.2.4	lubaviSeRe
4.2.5	saMjFAyAM SravaNASvawWAByAm‌
4.2.6	xvaMxvAcCaH
4.2.7	xqRtaM sAma
4.2.8	kalerDak
4.2.9	vAmaxevAddyaddyO
4.2.10	parivqwo raWaH
4.2.11	pANdukambalAxiniH
4.2.12	xvEpavEyAGrAxaF
4.2.13	kOmArApUrvavacane
4.2.14	wawroxXqwamamawreByaH
4.2.15	sWaNdilAcCayiwari vrawe
4.2.16	saMskqwaM BakRAH
4.2.17	SUloKAxyaw‌
4.2.18	xaXnaRTak
4.2.19	uxaSviwoZnyawarasyAm
4.2.20	kRIrAdDaF
4.2.21	sAZsmin pOrNamAsIwi (saMjFAyAm)
4.2.22	AgrahAyaNyaSvawWAtTak
4.2.23	viBARA PAlgunISravaNAkArwwikIcEwrIByaH
4.2.24	sAZsya xevawA
4.2.25	kasyew‌
4.2.26	SukrAxGan
4.2.27	aponapwrapAnnapwqByAM GaH
4.2.28	Ca ca
4.2.29	mahenxrAxGANO ca
4.2.30	somAttyaN
4.2.31	vAyvqwupiwruRaso yaw‌
4.2.32	xyAvApqWivISunAsIramaruwvaxagnIRomavAswoRpawigqhameXAcCa ca
4.2.33	agnerDak
4.2.34	kAleByo Bavavaw‌
4.2.35	mahArAjaproRTapaxAtTaF
4.2.36	piwqvyamAwulamAwAmahapiwAmahAH
4.2.37	wasya samUhaH
4.2.38	BikRAZZxiByoZN
4.2.39	gowrokRoRtroraBrarAjarAjanyarAjapuwravawsamanuRyAjAxvuF
4.2.40	kexArAxyaF ca
4.2.41	TaF kavacinaSca
4.2.42	brAhmaNamANavavAdavAxyan
4.2.43	grAmajanabanXusahAyeByaH wal
4.2.44	anuxAwwAxeraF
4.2.45	KaNdikAxiByaSca
4.2.46	caraNeByo Xarmavaw‌
4.2.47	aciwwahaswiXenoRTak
4.2.48	keSASvAByAM yaFCAvanyawarasyAm
4.2.49	pASAxiByo yaH
4.2.50	KalagoraWAw‌
4.2.51	iniwrakatyacaSca
4.2.52	viRayo xeSe
4.2.53	rAjanyAxiByo vuF
4.2.54	BOrikyAxyERukAryAxiByo viXalBakwalO
4.2.55	soZsyAxiriwi cCanxasaH pragAWeRu
4.2.56	saMgrAme prayojanayoxXqByaH
4.2.57	waxasyAM praharaNamiwi krIdAyAm NaH
4.2.58	GaFaH sAZsyAM kriyewi FaH
4.2.59	waxaXIwe waxvexa
4.2.60	krawUkWAxisUwrAnwAtTak
4.2.61	kramAxiByo vun
4.2.62	anubrAhmaNAxiniH
4.2.63	vasanwAxiByaRTak
4.2.64	prokwAlluk
4.2.65	sUwrAcca kopaXAw‌
4.2.66	CanxobrAhmaNAni ca waxviRayANi
4.2.67	waxasminnaswIwi xeSe wannAmni
4.2.68	wena nirvqwwam
4.2.69	wasya nivAsaH
4.2.70	axUraBavaSca
4.2.71	oraF
4.2.72	mawoSca bahvajafgAw‌
4.2.73	bahvacaH kUpeRu
4.2.74	uxak ca vipASaH
4.2.75	saMkalAxiByaSca
4.2.76	swrIRu sOvIrasAlvaprAkRu
4.2.77	suvAswvAxiByoZN
4.2.78	roNI
4.2.79	kopaXAcca
4.2.80	vuFCaNkaTajilaSeniraDaFNyayaPakPiFiFFyakakTakoZrIhaNakqSASvarSyakumuxakASawqNaprekRAZSmasaKisaMkASabalapakRakarNasuwaMgamapragaxinvarAhakumuxAxiByaH
4.2.81	janapaxe lup‌
4.2.82	varaNAxiByaSca
4.2.83	SarkarAyA vA
4.2.84	TakCO ca
4.2.85	naxyAM mawup‌
4.2.86	maXvAxiByaSca
4.2.87	kumuxanadavewaseByo dmawup‌
4.2.88	nadaSAxAddvalac
4.2.89	SiKAyA valac
4.2.90	uwkarAxiByaSCaH
4.2.91	nadAxInAM kuk ca
4.2.92	SeRe
4.2.93	rARtrAvArapArAxGaKO
4.2.94	grAmAxyaKaFO
4.2.95	kawwryAxiByo DakaF
4.2.96	kulakukRigrIvAByaH SvAsyalaMkAreRu
4.2.97	naxyAxiByo Dak
4.2.98	xakRiNApaScAwpurasaswyak
4.2.99	kApiSyAH RPak
4.2.100	raMkoramanuRyeZN ca
4.2.101	xyuprAgapAguxakprawIco yaw‌
4.2.102	kanWAyARTak
4.2.103	varNO vuk
4.2.104	avyayAwwyap‌
4.2.105	ERamohyaHSvasoZnyawarasyAm
4.2.106	wIrarUpyowwarapaxAxaFFO
4.2.107	xikpUrvapaxAxasaMjFAyAM FaH
4.2.108	maxreByoZF
4.2.109	uxIcyagrAmAcca bahvacoZnwoxAwwAw‌
4.2.110	prasWowwarapaxapalaxyAxikopaXAxaN
4.2.111	kaNvAxiByo gowre
4.2.112	iFaSca
4.2.113	na xvyacaH prAcyaBaraweRu
4.2.114	vqxXAcCaH
4.2.115	BavawaRTakCasO
4.2.116	kASyAxiByaRTaFFiTO
4.2.117	vAhIkagrAmeByaSca
4.2.118	viBARoSInareRu
4.2.119	orxeSe TaF
4.2.120	vqxXAw‌ prAcAm
4.2.121	XanvayopaXAxvuF
4.2.122	prasWapuravahAnwAcca
4.2.123	ropaXewoH prAcAm
4.2.124	janapaxawaxavaXyoSca
4.2.125	avqxXAxapi bahuvacanaviRayAw‌
4.2.126	kacCAgnivakwragarwwowwarapaxAw‌
4.2.127	XUmAxiByaSca
4.2.128	nagarAw‌ kuwsanaprAvINyayoH
4.2.129	araNyAnmanuRye
4.2.130	viBARA kuruyuganXarAByAm
4.2.131	maxravqjyoH kan
4.2.132	kopaXAxaN
4.2.133	kacCAxiByaSca
4.2.134	manuRyawawsWayorvuF
4.2.135	apaxAwO sAlvAw‌
4.2.136	goyavAgvoSca
4.2.137	garwowwarapaxAcCaH
4.2.138	gahAxiByaSca
4.2.139	prAcAM katAxeH
4.2.140	rAjFaH ka ca
4.2.141	vqxXAxakekAnwaKopaXAw‌
4.2.142	kanWApalaxanagaragrAmahraxowwarapaxAw‌
4.2.143	parvawAcca
4.2.144	viBARAZmanuRye
4.2.145	kqkaNaparNAxBAraxvAje
4.3.1	yuRmaxasmaxoranyawarasyAM KaF ca
4.3.2	wasmin naNi ca yuRmAkAsmAkO
4.3.3	wavakamamakAvekavacane
4.3.4	arXAxyaw‌
4.3.5	parAvarAXamowwamapUrvAcca
4.3.6	xikpUrvapaxAtTaF ca
4.3.7	grAmajanapaxEkaxeSAxaFTaFO
4.3.8	maXyAnmaH
4.3.9	a sAmprawike
4.3.10	xvIpAxanusamuxraM yaF
4.3.11	kAlAtTaF
4.3.12	SrAxXe SaraxaH
4.3.13	viBARA rogAwapayoH
4.3.14	niSApraxoRAByAM ca
4.3.15	Svasaswut ca
4.3.16	saMXivelAZZxyqwunakRawreByoZN
4.3.17	prAvqRa eNyaH
4.3.18	varRAByaRTak
4.3.19	Canxasi TaF
4.3.20	vasanwAcca
4.3.21	hemanwAcca
4.3.22	sarvawrAN ca walopaSca
4.3.23	sAyaMciramprAhNeprageZvyayeByaRtyutyulO wut ca
4.3.24	viBARA pUrvAhNAparAhNAByAm
4.3.25	wawra jAwaH
4.3.26	prAvqRaRTap‌
4.3.27	saMjFAyAM Saraxo vuF
4.3.28	pUrvAhNAparAhNArxrAmUlapraxoRAvaskarAxvun
4.3.29	paWaH panWa ca
4.3.30	amAvAsyAyA vA
4.3.31	a ca
4.3.32	sinXvapakarAByAM kan
4.3.33	aNaFO ca
4.3.34	SraviRTAPalgunyanurAXAsvAwiwiRyapunarvasuhaswaviSAKAZRADAbahulAlluk
4.3.35	sWAnAnwagoSAlaKaraSAlAcca
4.3.36	vawsaSAlAZBijixaSvayukCawaBiRajo vA
4.3.37	nakRawreByo bahulam
4.3.38	kqwalabXakrIwakuSalAH
4.3.39	prAyaBavaH
4.3.40	upajAnUpakarNopanIveRTak
4.3.41	saMBUwe
4.3.42	koSAdDaF
4.3.43	kAlAw‌ sAXupuRpyawpacyamAneRu
4.3.44	upwe ca
4.3.45	ASvayujyA vuF
4.3.46	grIRmavasanwAxanyawarasyAm
4.3.47	xeyamqNe
4.3.48	kalApyaSvawWayavabusAxvun
4.3.49	grIRmAvarasamAxvuF
4.3.50	saMvawsarAgrahAyaNIByAM TaF ca
4.3.51	vyAharawi mqgaH
4.3.52	waxasya soDam
4.3.53	wawra BavaH
4.3.54	xigAxiByo yaw‌
4.3.55	SarIrAvayavAcca
4.3.56	xqwikukRikalaSivaswyaswyaherDaF
4.3.57	grIvAByoZN ca
4.3.58	gamBIrAFFyaH
4.3.59	avyayIBAvAcca
4.3.60	anwaHpUrvapaxAtTaF
4.3.61	grAmAw‌ paryanupUrvAw‌
4.3.62	jihvAmUlAfguleSCaH
4.3.63	vargAnwAcca
4.3.64	aSabxe yawKAvanyawarasyAm
4.3.65	karNalalAtAw‌ kanalaMkAre
4.3.66	wasya vyAKyAna iwi ca vyAKyAwavyanAmnaH
4.3.67	bahvacoZnwoxAwwAtTaF
4.3.68	krawuyajFeByaSca
4.3.69	aXyAyeRvevarReH
4.3.70	pOrodASapurodASAw RTan
4.3.71	Canxaso yaxaNO
4.3.72	xvyajqxbrAhmaNarkpraWamAXvarapuraScaraNanAmAKyAwAtTak
4.3.73	aNqgayanAxiByaH
4.3.74	wawa AgawaH
4.3.75	TagAyasWAneByaH
4.3.76	SuNdikAxiByoZN
4.3.77	vixyAyonisaMbanXeByo vuF
4.3.78	qwaRTaF
4.3.79	piwuryacca
4.3.80	gowrAxafkavaw‌
4.3.81	hewumanuRyeByoZnyawarasyAM rUpyaH
4.3.82	mayat ca
4.3.83	praBavawi
4.3.84	vixUrAFFyaH
4.3.85	waxgacCawi paWixUwayoH
4.3.86	aBiniRkrAmawi xvAram
4.3.87	aXikqwya kqwe granWe
4.3.88	SiSukranxayamasaBaxvaMxvenxrajananAxiByaSCaH
4.3.89	soZsya nivAsaH
4.3.90	aBijanaSca
4.3.91	AyuXajIviByaSCaH parvawe
4.3.92	SaNdikAxiByo FyaH
4.3.93	sinXuwakRaSilAZZxiByoZNaFO
4.3.94	wUxISalAwuravarmawIkUcavArAdDakCaNDaFyakaH
4.3.95	BakwiH
4.3.96	aciwwAxaxeSakAlAtTak
4.3.97	mahArAjAtTaF
4.3.98	vAsuxevArjunAByAM vun
4.3.99	gowrakRawriyAKyeByo bahulaM vuF
4.3.100	janapaxinAM janapaxavaw‌ sarvaM janapaxena samAnaSabxAnAM bahuvacane
4.3.101	wena prokwam
4.3.102	wiwwirivarawanwuKaNdikoKAcCaN
4.3.103	kASyapakOSikAByAmqRiByAM NiniH
4.3.104	kalApivESampAyanAnwevAsiByaSca
4.3.105	purANaprokweRu brAhmaNakalpeRu
4.3.106	SOnakAxiByaSCanxasi
4.3.107	kaTacarakAlluk
4.3.108	kalApinoZN
4.3.109	Cagalino Dinuk
4.3.110	pArASaryaSilAliByAM BikRunatasUwrayoH
4.3.111	karmanxakqSASvAxiniH
4.3.112	wenEkaxik
4.3.113	wasiSca
4.3.114	uraso yacca
4.3.115	upajFAwe
4.3.116	kqwe granWe
4.3.117	saMjFAyAm
4.3.118	kulAlAxiByo vuF
4.3.119	kRuxrABramaravatarapAxapAxaF
4.3.120	wasyexam
4.3.121	raWAxyaw‌
4.3.122	pawwrapUrvAxaF
4.3.123	pawwrAXvaryupariRaxaSca
4.3.124	halasIrAtTak
4.3.125	xvaMxvAxvun vEramEWunikayoH
4.3.126	gowracaraNAxvuF
4.3.127	saMGAfkalakRaNeRvaFyaFiFAmaN
4.3.128	SAkalAxvA
4.3.129	CanxogOkWikayAjFikabahvqcanatAFFyaH
4.3.130	na xaNdamANavAnwevAsiRu
4.3.131	rEvawikAxiByaSCaH
4.3.132	kOpiFjalahAswipaxAxaN
4.3.133	AWarvaNikasyekalopaSca
4.3.134	wasya vikAraH
4.3.135	avayave ca prANyoRaXivqkReByaH
4.3.136	bilvAxiByoZN
4.3.137	kopaXAcca
4.3.138	wrapujawunoH Ruk
4.3.139	oraF
4.3.140	anuxAwwAxeSca
4.3.141	palASAxiByo vA
4.3.142	SamyARtlaF
4.3.143	mayadvEwayorBARAyAmaBakRyAcCAxanayoH
4.3.144	niwyaM vqxXaSarAxiByaH
4.3.145	goSca purIRe
4.3.146	piRtAcca
4.3.147	saMjFAyAM kan
4.3.148	vrIheH purodASe
4.3.149	asaMjFAyAM wilayavAByAm‌
4.3.150	xvyacaSCanxasi
4.3.151	nowvaxvarXrabilvAw‌
4.3.152	wAlAxiByoZN
4.3.153	jAwarUpeByaH parimANe
4.3.154	prANirajawAxiByoZF
4.3.155	FiwaSca wawprawyayAw‌
4.3.156	krIwavaw‌ parimANAw‌
4.3.157	uRtrAxvuF
4.3.158	umorNayorvA
4.3.159	eNyA DaF
4.3.160	gopayasoryaw‌
4.3.161	xroSca
4.3.162	mAne vayaH
4.3.163	Pale luk
4.3.164	plakRAxiByoZN
4.3.165	jambvA vA
4.3.166	lup ca
4.3.167	harIwakyAxiByaSca
4.3.168	kaMsIyaparaSavyayoryaFaFO luk ca
4.4.1	prAgvahaweRTak
4.4.2	wena xIvyawi Kanawi jayawi jiwam
4.4.3	saMskqwam
4.4.4	kulawWakopaXAxaN
4.4.5	warawi
4.4.6	gopucCAtTaF
4.4.7	nOxvyacaRTan
4.4.8	carawi
4.4.9	AkarRAw RTal
4.4.10	parpAxiByaH RTan
4.4.11	SvagaNAtTaFca
4.4.12	vewanAxiByo jIvawi
4.4.13	vasnakrayavikrayAtTan
4.4.14	AyuXAcCa ca
4.4.15	harawyuwsafgAxiByaH
4.4.16	BaswrAZZxiByaH RTan
4.4.17	viBARA vivaXavIvaXAw‌
4.4.18	aN kutilikAyAH
4.4.19	nirvqwweZkRaxyUwAxiByaH
4.4.20	kwrermam niwyaM
4.4.21	apamiwyayAciwAByAM kakkanO
4.4.22	saMsqRte
4.4.23	cUrNAxiniH
4.4.24	lavaNAlluk
4.4.25	muxgAxaN
4.4.26	vyaFjanErupasikwe
4.4.27	ojassahoZmBasA varwawe
4.4.28	waw prawyanupUrvamIpalomakUlam
4.4.29	parimuKaM ca
4.4.30	prayacCawi garhyam
4.4.31	kusIxaxaSEkAxaSAw‌ RTanRTacO
4.4.32	uFCawi
4.4.33	rakRawi
4.4.34	SabxaxarxuraM karowi
4.4.35	pakRimawsyamqgAn hanwi
4.4.36	paripanWaM ca wiRTawi
4.4.37	mAWowwarapaxapaxavyanupaxaM XAvawi
4.4.38	AkranxAtTaFca
4.4.39	paxowwarapaxaM gqhNAwi
4.4.40	prawikaNTArWalalAmaM ca
4.4.41	XarmaM carawi
4.4.42	prawipaWamewi TaMSca
4.4.43	samavAyAn samavEwi
4.4.44	pariRaxo NyaH
4.4.45	senAyA vA
4.4.46	saMjFAyAM lalAtakukkutyO paSyawi
4.4.47	wasya Xarmyam
4.4.48	aN mahiRyAxiByaH
4.4.49	qwoZF
4.4.50	avakrayaH
4.4.51	waxasya paNyam
4.4.52	lavaNAtTaF
4.4.53	kiSarAxiByaH RTan
4.4.54	SalAlunoZnyawarasyAm
4.4.55	Silpam‌
4.4.56	maddukaJarJarAxaNanyawarasyAm
4.4.57	praharaNam
4.4.58	paraSvaXAtTaFca
4.4.59	SakwiyaRtyorIkak
4.4.60	aswinAswixiRtaM mawiH
4.4.61	SIlam
4.4.62	CawrAxiByo NaH
4.4.63	karmAXyayane vqwwam
4.4.64	bahvacpUrvapaxAtTac
4.4.65	hiwaM BakRAH
4.4.66	waxasmE xIyawe niyukwam
4.4.67	SrANAmAMsOxanAttiTan
4.4.68	BakwAxaNanyawarasyAm
4.4.69	wawra niyukwaH
4.4.70	agArAnwAtTan
4.4.71	aXyAyinyaxeSakAlAw‌
4.4.72	kaTinAnwapraswArasaMsWAneRu vyavaharawi
4.4.73	nikate vasawi
4.4.74	AvasaWAw RTal
4.4.75	prAgGiwAxyaw‌
4.4.76	waxvahawi raWayugaprAsafgam
4.4.77	Xuro yadDakO
4.4.78	KaH sarvaXurAw‌
4.4.79	ekaXurAlluk ca
4.4.80	SakatAxaN
4.4.81	halasIrAtTak
4.4.82	saMjFAyAM janyAH
4.4.83	viXyawyaXanuRA
4.4.84	XanagaNaM labXA
4.4.85	annANNaH
4.4.86	vaSaM gawaH
4.4.87	paxamasmin xqSyam‌
4.4.88	mUlamasyAbarhi
4.4.89	saMjFAyAM XenuRyA
4.4.90	gqhapawinA saMyukwe FyaH
4.4.91	nOvayoXarmaviRamUlamUlasIwAwulAByaswAryawulyaprApyavaXyAnAmyasamasamiwasammiweRu
4.4.92	XarmapaWyarWanyAyAxanapewe
4.4.93	Canxaso nirmiwe
4.4.94	urasoZN ca
4.4.95	hqxayasya priyaH
4.4.96	banXane carRO
4.4.97	mawajanahalAw‌ karaNajalpakarReRu
4.4.98	wawra sAXuH
4.4.99	prawijanAxiByaH KaF
4.4.100	BakwANNaH
4.4.101	pariRaxo NyaH
4.4.102	kaWAZZxiByaRTak
4.4.103	gudAxiByaRTaF
4.4.104	paWyawiWivasawisvapawerDaF
4.4.105	saBAyA yaH
4.4.106	DaSCanxasi
4.4.107	samAnawIrWe vAsI
4.4.108	samAnoxare Sayiwa o coxAwwaH
4.4.109	soxarAxyaH
4.4.110	Bave Canxasi
4.4.111	pAWonaxIByAM dyaN
4.4.112	veSanwahimavaxByAmaN
4.4.113	srowaso viBARA dyaddyO
4.4.114	sagarBasayUWasanuwAxyan
4.4.115	wugrAxGan
4.4.116	agrAxyaw‌
4.4.117	GacCO ca
4.4.118	samuxrABrAxGaH
4.4.119	barhiRi xawwam
4.4.120	xUwasya BAgakarmaNI
4.4.121	rakRoyAwUnAM hananI
4.4.122	revawIjagawIhaviRyAByaH praSasye
4.4.123	asurasya svam
4.4.124	mAyAyAmaN
4.4.125	waxvAnAsAmupaXAno manwra iwIRtakAsu luk ca mawoH
4.4.126	aSvimAnaN
4.4.127	vayasyAsu mUrXno mawup‌
4.4.128	mawvarWe mAsawanvoH
4.4.129	maXorFa ca
4.4.130	ojasoZhani yawKO
4.4.131	veSoyaSaAxerBagAxyal
4.4.132	Ka ca
4.4.133	pUrvEH kqwaminiyO ca
4.4.134	axBiH saMskqwam
4.4.135	sahasreNa saMmiwO GaH
4.4.136	mawO ca
4.4.137	somamarhawi yaH
4.4.138	maye ca
4.4.139	maXoH
4.4.140	vasoH samUhe ca
4.4.141	nakRawrAxGaH
4.4.142	sarvaxevAw‌ wAwil
4.4.143	SivaSamariRtasya kare
4.4.144	BAve ca
5.1.1	prAk krIwAcCaH
5.1.2	ugavAxiByoZw‌
5.1.3	kambalAcca saMjFAyAm
5.1.4	viBARA havirapUpAxiByaH
5.1.5	wasmE hiwam
5.1.6	SarIrAvayavAxyaw‌
5.1.7	KalayavamARawilavqRabrahmaNaSca
5.1.8	ajAviByAM Wyan
5.1.9	AwmanviSvajanaBogowwarapaxAw‌ KaH
5.1.10	sarvapuruRAByAM NaDaFO
5.1.11	mANavacarakAByAM KaF
5.1.12	waxarWaM vikqweH prakqwO
5.1.13	CaxirupaXibaleH DaF
5.1.14	qRaBopAnahorFyaH
5.1.15	carmmaNoZF
5.1.16	waxasya waxasmin syAxiwi
5.1.17	pariKAyA DaF
5.1.18	prAgvaweRTaF
5.1.19	ArhAxagopucCasaMKyAparimANAtTak
5.1.20	asamAse niRkAxiByaH
5.1.21	SawAcca TanyawAvaSawe
5.1.22	saMKyAyA awiSaxanwAyAH kan
5.1.23	vaworidvA
5.1.24	viMSawiwriMSaxByAM dvunnasaMjFAyAm‌
5.1.25	kaMsAttiTan
5.1.26	SUrpAxaFanyawarasyAm
5.1.27	SawamAnaviMSawikasahasravasanAxaN
5.1.28	aXyarXapUrvaxvigorlugasaMjFAyAm
5.1.29	viBARA kArRApaNasahasrAByAm
5.1.30	xviwripUrvAnniRkAw‌
5.1.31	biswAcca
5.1.32	viMSawikAw‌ KaH
5.1.33	KAryA Ikan
5.1.34	paNapAxamARaSawAxaw‌
5.1.35	SANAxvA
5.1.36	xviwripUrvAxaN ca
5.1.37	wena krIwam
5.1.38	wasya nimiwwaM saMyogowpAwO
5.1.39	goxvyacorasaMKyAparimANASvAxeryaw‌
5.1.40	puwrAcCa ca
5.1.41	sarvaBUmipqWivIByAmaNaFO
5.1.42	wasyeSvaraH
5.1.43	wawra vixiwa iwi ca
5.1.44	lokasarvalokAtTaF
5.1.45	wasya vApaH
5.1.46	pAwrAw RTan
5.1.47	waxasmin vqxXyAyalABaSulkopaxA xIyawe
5.1.48	pUraNArXAtTan
5.1.49	BAgAxyacca
5.1.50	waxXarawi vahawyAvahawi BArAxvaMSAxiByaH
5.1.51	vasnaxravyAByAM TankanO
5.1.52	samBavawyavaharawi pacawi
5.1.53	ADakAciwapAwrAw‌ KoZnyawarayAm
5.1.54	xvigoRTaMSca
5.1.55	kulijAllukKO ca
5.1.56	soZsyAMSavasnaBqwayaH
5.1.57	waxasya parimANam
5.1.58	saMKyAyAH saMjFAsaMGasUwrAXyayaneRu
5.1.59	pafkwiviMSawiwriMSawcawvAriMSawpaFcASawRaRtisapwawyaSIwinavawiSawam
5.1.60	paFcaxxaSawO varge vA
5.1.61	sapwanoZF Canxasi
5.1.62	wriMSaccawvAriMSaworbrAhmaNe saMjFAyAM daN
5.1.63	wax arhawi
5.1.64	CexAxiByo niwyam
5.1.65	SIrRacCexAxyacca
5.1.66	xaNdAxiByaH
5.1.67	Canxasi ca
5.1.68	pAwrAxGaMSca
5.1.69	kadafgaraxakRiNAcCa ca
5.1.70	sWAlIbilAw‌
5.1.71	yajFarwvigByAM GaKaFO
5.1.72	pArAyaNawurAyaNacAnxrAyaNaM varwayawi
5.1.73	saMSayamApannaH
5.1.74	yojanaM gacCawi
5.1.75	paWaH Rkan
5.1.76	panWo Na niwyam
5.1.77	uwwarapaWenAhqwaM ca
5.1.78	kAlAw‌
5.1.79	wena nirvqwwam
5.1.80	wamaXIRto Bqwo BUwo BAvI
5.1.81	mAsAxvayasi yawKaFO
5.1.82	xvigoryap‌
5.1.83	RaNmAsANNyacca
5.1.84	avayasi TaMSca
5.1.85	samAyAH KaH
5.1.86	xvigorvA
5.1.87	rAwryahassaMvawsarAcca
5.1.88	varRAlluk ca
5.1.89	ciwwavawi niwyam
5.1.90	RaRtikAH RaRtirAwreNa pacyanwe
5.1.91	vawsarAnwAcCaSCanxasi
5.1.92	samparipUrvAw‌ Ka ca
5.1.93	wena parijayyalaByakAryasukaram
5.1.94	waxasya brahmacaryam
5.1.95	wasya ca xakRiNA yajFAKyeByaH
5.1.96	wawra ca xIyawe kAryaM Bavavaw‌
5.1.97	vyuRtAxiByoZN
5.1.98	wena yaWAkaWAcahaswAByAM NayawO
5.1.99	sampAxini
5.1.100	karmaveRAxyaw
5.1.101	wasmE praBavawi saMwApAxiByaH
5.1.102	yogAxyacca
